carrera,institucion,direccion,ciudad,region,latitud,longitud,arancel,duracion_formal,duraccion_real,grado,acreditacion_institucion,acreditacion_carrera,porcentaje_procedencia_subvencionado,procentaje_retencion_primero
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Santo Domingo 1083,Santiago,Metropolitana,"-33,436268","-70,652528",749000,5 semestres,—,Técnico Superior,no acreditada,no acreditada,"48,3",—
Diseño Gráfico Computacional,CFT ICEL,Alameda 2520,Santiago,Metropolitana,"-33,44908","-70,671854",919000,5 semestres,—,Técnico Superior,no acreditada,no acreditada,"72,2",—
Diseño Gráfico Computacional,CFT ICEL,Av. Pajaritos 4650,Santiago,Metropolitana,"-33,479591","-70,743802",919000,5 semestres,—,Técnico Superior,no acreditada,no acreditada,"72,2",—
Diseño Web & Mobile,CFT INACAP,Apoquindo 7282,Santiago,Metropolitana,"-33,408257","-70,55338",1626000,4 semestres,—,Técnico Superior,6 años,no acreditada,"52,4",—
Diseño y Producción Gráfica,CFT INACAP,"Santa María 2190, ",Arica,Arica y Parinacota,"-18,47005","-70,30431",2090000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","61,6"
Diseño y Producción Gráfica,CFT INACAP,Av. La Tirana 4310,Iquique,Taparacá,"-20,272158","-70,126249",1942000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","61,6"
Diseño y Producción Gráfica,CFT INACAP,Av. Francisco de Aguirre 389,La Serena,Coquimbo,"-29,906009","-71,252",1890000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","61,6"
Diseño y Producción Gráfica,CFT INACAP,Apoquindo 7282,Santiago,Metropolitana,"-33,408257","-70,55338",1876000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Brown Norte 290,Santiago,Metropolitana,"-33,452686","-70,591842",1876000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Av. Concha y Toro 2730,Santiago,Metropolitana,"-33,585932","-70,580677",1876000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Av. Nelson Pereira 2519,Rancagua,O'Higgins,"-34,136379","-70,740001",1812000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Ruta 5 6,Curicó,Maule,"-34,978927","-71,210928",1812000,4 semestres,—,Técnico Superior,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Luis Durand 02150,Temuco,Araucanía,"-38,725414","-72,630158",1620000,4 semestres,—,Técnico,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Alcalde René Soriano Bórquez 2382,Osorno,Los Lagos,"-40,581275","-73,111407",1582000,4 semestres,—,Técnico,6 años,5 años,"93,6","93,6"
Diseño y Producción Gráfica,CFT INACAP,Av. Bulnes km 4 Norte,Punta Arenas,Magallanes,"-53,131432","-70,911705",1556000,4 semestres,—,Técnico,6 años,5 años,"93,6","93,6"
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Triana 820,Santiago,Metropolitana,"-33,433096","-70,624538",1800000,7 semestres,"9,1 semestres",Profesional,3 años,5 años,"89,9","64,3"
Diseño Gráfico,IP AIEP,Abdón Cifuentes 115,Viña del Mar,Valparaíso,"-32,738348","-70,727242",1600000,5 semestres,—,Técnico Superior,3 años,5 años,"94,8",65
Diseño Gráfico,IP AIEP,Ejercito 49,Santiago,Metropolitana,"-33,447539","-70,661556",1450000,5 semestres,—,Técnico Superior,3 años,5 años,"94,8","73,7"
Diseño Gráfico,IP AIEP,Triana 820,Santiago,Metropolitana,"-33,433096",-70624538,1450000,5 semestres,—,Técnico Superior,3 años,5 años,"94,8","73,7"
Diseño Gráfico,IP AIEP,Cuevas 70,Rancagua,O'Higgins,"-34,169922","-70,735734",1400000,5 semestres,—,Profesional,3 años,5 años,"94,8","73,7"
Diseño Gráfico,IP AIEP,Barros Arana 302,Concepción,Bío Bío,"-36,828417","-73,054955",1390000,5 semestres,—,Técnico,3 años,5 años,"94,8","73,7"
Diseño Gráfico Profesional,IP AIEP,"Ejercito 49, Barrio República",Santiago,Metropolitana,"-33,447539","-70,661556",1730000,8 semestres,"10,2 semestres",Técnico Superior,3 años,3 años,"94,8",65
