carrera,institucion,tipo,grado_academico,titulo_profesional,salida_intermedia,duracion_formal
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Profesional,"Bachiller, Licenciado en Diseño",Diseñador,—,10 semestres
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,Profesional,Licenciado en Comunicación Visual,Diseñador Gráfico,—,10 semestres
Diseño,UNIVERSIDAD DE VALPARAISO,Profesional,Licenciado en Diseño,Diseñador,—,10 semestres
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,Profesional,Licenciado en Diseño,Diseñador Industrial,Técnico Universitario en Diseño y Comunicación.,10 semestres
Diseño Gráfico,UNIVERSIDAD DE CHILE,Profesional,Licenciado(a) en Diseño con mención en Diseño Gráfico,Diseñador(a) Gráfico(a),—,10 semestres
Diseño Industrial,UNIVERSIDAD DE CHILE,Profesional,Licenciado(a) en Diseño con mención en Diseño Industrial,Diseñador(a) Industrial,—,10 semestres
Diseño,IP DE CHILE,Profesional,—,Diseñador,—,8 semestres
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Profesional,"Magíster en innovación y diseño / Magíster en arquitectura, urbanismo y territorio",Diseñador ,—,10 semestres
Diseño,UNIVERSIDAD DE TALCA,Profesional,Licenciado en Diseño,Diseñador ,Técnico en Diseño,9 semestres
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,—,Licenciado en Diseño,Diseñador mención Gráfica,—,
Diseño,UNIVERSIDAD DEL DESARROLLO,Profesional,Licenciado en Diseño con mención en Gráfico,Diseñador con mención en Gráfico,—,10 semestres
Diseño,UNIVERSIDAD DEL DESARROLLO,Profesional,Licenciado en Diseño con mención en Interacción Digital,Diseñador con mención en Interacción Digital,—,10 semestres
Diseño,UNIVERSIDAD DEL DESARROLLO,Profesional,Licenciado en Diseño con mención en Espacios y Objetos,Diseñador con mención en Espacios y Objetos,—,10 semestres
Diseño Gráfico,UNIVERSIDAD DIEGO PORTALES,Profesional,Licenciado en Diseño,Diseñador Gráfico,—,10 semestres
Diseño Industrial,UNIVERSIDAD DIEGO PORTALES,Profesional,Licenciado en Diseño,Diseñador Industrial,—,10 semestres
Diseño,UNIVERSIDAD FINIS TERRAE,Profesional,Licenciado en Diseño,Diseñador con mención en Diseño Gráfico,—,9 semestres
Diseño,UNIVERSIDAD FINIS TERRAE,Profesional,Licenciado en Diseño,Diseñador con mención en Interior y Equipamiento,—,9 semestres
Diseño (NN),UNIVERSIDAD AUSTRAL DE CHILE,Profesional,,,,
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,Profesional,Licenciado en Diseño Crossmedia,Diseñador Crossmedia,Técnico de Nivel Superior en Producción Crossmedia,9 semestres
Diseño de Ambiente,IP DUOC UC,Profesional,—,Diseñador de Ambientes,Técnico en Ambientación ,8 semestres
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",Profesional,Licenciado en Diseño de Imagen,"Diseñador de Imagen, especialidad en Moda",—,10 semestres
Diseño Gráfico,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",Profesional,Licenciado en Diseño Gráfico,"Diseñador Gráfico, especialidad en Multimedia ",—,10 semestres
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,Profesional,Licenciado en Diseño,Diseñador de Interiores,—,9 semestres
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,Profesional,Licenciado en Diseño,Diseñador de Juegos Digitales,Bachiller en Artes,8 semestres
Diseño de Moda,IP INACAP,Profesional,—,Diseñador de Moda,—,8 semestres
Diseño de Muebles y Objetos,UNIVERSIDAD DE LAS AMERICAS,Profesional,Licenciado en Diseño,Diseño de Muebles y Objetos,—,8 semestres
Diseño de Vestuario,IP DUOC UC,Profesional,—,Diseñador de Vestuario,Técnico en Producción Industrial de Vestuario,8 semestres
Diseño de Vestuario,UNIVERSIDAD DE LAS AMERICAS,Profesional,Licenciado en Diseño,Diseñador de Vestuario,—,8 semestres
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Profesional,—,Diseñador de Vestuario mención Alta Costura,Técnico de Nivel Superior en Diseño de Vestuario,7 semestres
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,Profesional,Licenciado en Diseño,Diseñador de Vestuario y Textil,Bachiller en Artes,8 semestres
